dbus-broker-units 36-4.1
dbus-glib 0.112-4.1
dconf 0.40.0-3.1
ddcutil 2.1.4-2.1
debugedit 5.1-1.1
default-cursors 3-1
desktop-file-utils 0.28-1.1
device-mapper 2.03.29-1.1
dhclient 4.4.3.P1-3.1
dhcpcd 10.1.0-1.1
dialog 1:1.3_20240619-2.1
diffstat 1.67-2.1
diffutils 3.10-1.1
ding-libs 0.6.2-2.1
djvulibre 3.5.28-6.1
dkms 3.1.3-2
dmenu 5.3-3.1
dmidecode 3.6-1.3
dmraid 1.0.0.rc16.3-15.1
dnscrypt-proxy 2.1.5-4.1
dnsenum 1.2.4.2-6
dnsmasq 2.90-1.1
dnssec-anchors 20190629-4
docker 1:27.3.1-1.1
docker-compose 2.32.1-1.1
dosbox 0.74.3-3.1
dosfstools 4.2-5.1
dotconf 1.4.1-1.1
double-conversion 3.3.0-2.2
downgrade 11.4.2-1
duf 0.8.1-3.1
duktape 2.7.0-7.1
dunst 1.12.0-1.1
e2fsprogs 1.47.1-4.1
ebook-tools 0.2.2-8.1
editorconfig-core-c 0.12.9-1.1
edk2-shell 202411-1
efibootmgr 18-3.1
efitools 1.9.2-5.1
efivar 39-1.1
egl-wayland 4:1.1.17-1
eglexternalplatform 1.2-2
electron 1:33-1
electron22-bin 22.3.27-4
electron29 1:29.4.6-2
electron30 30.5.1-3
electron31 31.7.6-1.1
electron32 32.2.7-1.1
electron33 33.3.0-1.1
ell 0.71-1.1
enchant 2.8.2-1.1
eslint 9.17.0-1
espeak-ng 1.52.0-1.1
espeakup 0.90-3.1
ethtool 1:6.9-1.1
evince 46.3.1-2.1
evolution-data-server 3.54.2-1
exempi 2.6.5-1.1
exfatprogs 1.2.6-1.1
exiv2 0.28.3-1.1
exo 4.18.0-4.1
expac 10-11.2
expat 2.6.4-1.1
eza 0.20.13-1.1
f2fs-tools 1.16.0-3.1
faac 1.30-5.1
faad2 2.11.1-1.1
fakeroot 1.36-1.1
fastfetch 2.32.1-1.1
fcft 3.1.9-1
fd 10.2.0-1.1
ffmpeg 2:7.1-3.1
ffmpeg4.4 4.4.5-1.1
ffmpegthumbnailer 2.2.3-3.1
ffmpegthumbs 24.12.0-1.1
fftw 3.3.10-7.1
figlet 2.2.5-6.1
figlet-fonts 1.0-3
file 5.46-2.1
file-roller 44.4-1.1
filesystem 2024.11.21-1
findutils 4.10.0-2.1
firejail 0.9.72-3.1
firewalld 2.3.0-1
flac 1.4.3-2.1
flatpak 1:1.15.12-1.1
flatseal 2.3.0-1
flex 2.6.4-5.1
fluidsynth 2.4.1-1.1
fmt 11.0.2-1.1
fontconfig 2:2.15.0-2.1
foomatic-db-engine 5:20200131-1.1
fortune-mod 3.22.0-1.1
fprintd 1.94.4-1
frameworkintegration 6.9.0-1.1
freeglut 3.6.0-1.1
freeimage 3.18.0-23.1
freerdp2 2.11.7-2.1
freetube 0.22.1-1
freetype2 2.13.3-1.1
fribidi 1.0.16-1.1
fsarchiver 0.8.8-1.1
fuse-common 3.16.2-1.1
fuse2 2.9.9-5
fuse3 3.16.2-1
fuzzel 1.11.1-2.1
fzf 0.56.3-1.1
gamemode 1.8.2-1.1
gamescope 3.15.14-1.1
gammastep 2.0.9-6.1
gawk 5.3.1-1.1
gc 8.2.8-2.1
gcc 14.2.1+r134+gab884fffe3fc-2
gcc-libs 14.2.1+r134+gab884fffe3fc-2
gcr 3.41.2-2.1
gcr-4 4.3.0-1.1
gd 2.3.3-8
gdbm 1.24-1.1
gdk-pixbuf2 2.42.12-2.1
geoclue 2.7.2-1.1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3.1
geoip-database 20241116-1
gettext 0.22.5-2.1
ghostscript 10.04.0-1.1
giflib 5.2.2-1
git 2.47.1-1.1
github-desktop 3.4.8-1.4
gjs 2:1.82.1-1.1
glances 4.2.1-1
glew 2.2.0-7.1
glew1.10 1.10.0-4.1
glfw 3.4-2.1
glib-networking 1:2.80.0-3.1
glib2 2.82.4-1.1
glib2-devel 2.82.4-1.1
glibc 2.40+r16+gaa533d58ff-6
glibc-locales 2.40+r16+gaa533d58ff-6
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1.1
glslang 15.0.0-2.1
glu 9.0.3-2.1
gmp 6.3.0-2.1
gnome-app-list 1.0-1
gnome-autoar 0.4.5-1.1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2.1
gnome-bluetooth
gnome-browser-connector 42.1-6
gnome-calculator 47.1-1.1
gnome-calendar 47.0-1.1
gnome-clocks 47.0-1.1
gnome-color-manager 3.36.0+r62+g82000f1d-1.1
gnome-control-center 47.2-1.1
gnome-desktop 1:44.1-1.1
gnome-desktop 1:44.1-1.1
gnome-desktop-common 1:44.1-1.1
gnome-disk-utility 46.1-1.1
gnome-keybindings 47.2-1.1
gnome-keyring 1:46.2-1.1
gnome-online-accounts 3.52.2-1.1
gnome-session 47.0.1-1.2
gnome-settings-daemon 47.2-1
gnome-shell 1:47.2-1.1
gnome-software 47.2-1.1
gnome-system-monitor 47.0-3.1
gnome-tweaks 46.1-1
gnupg 2.4.7-1.1
gnutls 3.8.8-1.1
go 2:1.23.4-2
gobject-introspection 1.82.0-1.1
gobject-introspection-runtime 1.82.0-1.1
goverlay 1.2-1.2
gperftools 2.16-1.2
gpgme 1.24.1-1.1
gpm 1.20.7.r38.ge82d1a6-6.1
gptfdisk 1.0.10-1.1
gradience 0.4.1_patch1-3
graphene 1.10.8-2.1
graphite 1:1.3.14-4
graphviz 12.1.2-1
greetd 0.10.3-1.1
greetd-agreety 0.10.3-1.1
grep 3.11-1.1
grim 1.4.1-2.1
groff 1.23.0-7.1
grub 2:2.12-3.1
grub-customizer 5.2.5-1.1
grub-hook 2.1-1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsm 1.0.22-2.1
gsound 1.0.3-3.1
gspell 1.14.0-1.1
gssdp 1.6.3-2.1
gssproxy 0.9.2-1.1
gst-libav 1.24.10-1
gst-plugin-pipewire 1:1.2.7-1.1
gst-plugins-bad 1.24.10-1
gst-plugins-bad-libs 1.24.10-1
gst-plugins-base 1.24.10-1
gst-plugins-base-libs 1.24.10-1
gst-plugins-good 1.24.10-1
gst-plugins-ugly 1.24.10-1
gstreamer 1.24.10-1
gstreamer-vaapi 1.24.10-1
gtest 1.15.2-1.1
gtk-engine-murrine 0.98.2-4.1
gtk-layer-shell 0.9.0-1.1
gtk-sharp-2 2.12.45-4.1
gtk-update-icon-cache 1:4.16.7-1.1
gtk2 2.24.33-5.1
gtk3 1:3.24.43-4.1
gtk4 1:4.16.7-1.1
gtkmm-4.0 4.16.0-1.1
gtkmm3 3.24.9-1.1
gtksourceview3 1:3.24.11+r28+g73e57b57-2.1
gtksourceview4 4.8.4-1.1
gtksourceview5 5.14.2-1
gtksourceviewmm 1:3.91.1-1.1
gts 0.7.6.121130-3.1
guile 3.0.10-1.1
gum 0.14.5-1.1
gupnp 1:1.6.7-1.1
gupnp-igd 1.6.0-1.1
gvfs 1.56.1-1
gvfs-afc 1.56.1-1
gvfs-gphoto2 1.56.1-1
gvfs-mtp 1.56.1-1
gwenview 24.12.0-1.1
gzip 1.13-4.1
harfbuzz 10.1.0-1
harfbuzz-icu 10.1.0-1
hashcat 1:6.2.6-2.1
haveged 1.9.19-1.1
hdparm 9.65-2.1
help2man 1.49.3-2.1
heroic-games-launcher 2.15.2-1
hexedit 1.6-2.1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3.1
highway 1.2.0-1.1
hplip 1:3.24.4-2.1
http-parser 2.9.4-2.1
huhnitor 2.0.0-2
hunspell 1.7.2-2.1
hwdata 0.390-1
hwdetect 2024.07.29.0933-1
hwinfo 23.3-1.1
hwloc 2.11.2-1.1
hydra 9.5-2
hyphen 2.8.8-6.1
hyprcursor-git 0.1.10.r9.gf388aacd-1
hyprgraphics-git 0.1.1.r2.g0f9b8ca6-1
hypridle-git 0.1.5.r2.g413564cb-1
hyprland-git 0.46.0.r18.71dc9f61-1
hyprland-protocols-git 0.4.0.r1.a7c1838-1
hyprland-qtutils-git 0.1.1.r1.g3833097e-1
hyprlang-git 0.6.0.r3.g16e59c1e-1
hyprlock-git 0.6.0.r2.gd12b4a7f-1
hyprpicker-git 0.4.1.r7.46d2f5a-1
